Barcode,Loc,Year,Test,Plot,Entry,Rep,Stock,Pedigree,DTA,DTS,PHT,FHT,EHT,STD,LDG,PlotWt,Moist,TestWt,Yield,YieldMoist,BuA,Population,PlantDate,Seed,Field,SeqNo,Range,Row,FtLong,FtAlley,FtWide,NumRows,HarvDate,AFppb,NOTES,Germination
CS18-YC1I-044,CS,2018,YC1I,044,Y384,1,CS14-YUAN-384-1,(Tx740/NC356)-18-121-1,80,83,64,46,24,12,,,,,,,,24599,3/14/2018,24,,,12,83,12.5,4,2.5,1,,,,50.00%
CS18-YC1I-045,CS,2018,YC1I,045,Tx779,1,Tx779,,77,82,54,40,23,5,,,,,,,,10249,3/14/2018,24,,,12,82,12.5,4,2.5,1,,,,20.83%
CS18-YC1I-046,CS,2018,YC1I,046,Y379,1,WF17-YUAN-055-B,(Tx740/NC356)-18-099-1-1-B-B,75,76,69,52,30,16,,,,,,,,32798,3/14/2018,24,,,12,81,12.5,4,2.5,1,,,,66.67%
CS18-YC1I-047,CS,2018,YC1I,047,Y367,1,CS15-YUAN-427-B4,(Tx740/NC356)-18-066-1-1-B4,80,82,61,46,22,11,,,,,,,,22549,3/14/2018,24,,,12,80,12.5,4,2.5,1,,,stressed tip burn,45.83%
CS18-YC1I-048,CS,2018,YC1I,048,Tx740,1,Tx740,,81,83,68,56,31,11,,,,,,,,22549,3/14/2018,24,,,12,79,12.5,4,2.5,1,,,,45.83%
CS18-YC1I-049,CS,2018,YC1I,049,Y425,1,CS14-YUAN-370-2,(Tx740/NC356)-18-078-2,73,73,73,57,30,12,,,,,,,,24599,3/14/2018,24,,,13,79,12.5,4,2.5,1,,,,50.00%
CS18-YC1I-050,CS,2018,YC1I,050,Y363,1,WF14-YUAN-363-B6,(Tx740/NC356)-18-047-1-B6,79,81,65,49,28,13,,,,,,,,26648,3/14/2018,24,,,13,80,12.5,4,2.5,1,,,,54.17%
CS18-YC1I-051,CS,2018,YC1I,051,Y365,1,CS14-YUAN-365-1,(Tx740/NC356)-18-058-1,78,79,75,59,36,15,,,,,,,,30748,3/14/2018,24,,,13,81,12.5,4,2.5,1,,,,62.50%
CS18-YC1I-052,CS,2018,YC1I,052,NC356,1,NC356,,75,77,67,50,26,11,,,,,,,,22549,3/14/2018,24,,,13,82,12.5,4,2.5,1,,,,45.83%
CS18-YC1I-053,CS,2018,YC1I,053,Y392,1,WF17-YUAN-061-B,(Tx740/NC356)-18-137-1-1-B3-B,77,81,64,46,27,18,,,,,,,,36898,3/14/2018,24,,,13,83,12.5,4,2.5,1,,,,75.00%
CS18-YC1I-054,CS,2018,YC1I,054,Y382,1,CS16-YUAV-518-B8,(Tx740/NC356)-18-109-1-B3-B8,81,81,68,54,29,13,,,,,,,,26648,3/14/2018,24,,,13,84,12.5,4,2.5,1,,,,54.17%
CS18-YC1I-055,CS,2018,YC1I,055,Y371,1,CS16-YUAV-440-B11,(Tx740/NC356)-18-079-1-B3-B2-B11,77,78,66,45,20,8,,,,,,,,16399,3/14/2018,24,,,13,85,12.5,4,2.5,1,,,,33.33%
CS18-YC1I-056,CS,2018,YC1I,056,Y403,1,WF17-YUAN-067-B,(Tx740/NC356)-18-005-2-1-B3-B,77,80,63,50,24,13,,,,,,,,26648,3/14/2018,24,,,13,86,12.5,4,2.5,1,,,,54.17%
CS18-YC1I-057,CS,2018,YC1I,057,LH82,1,LH82,,67,67,50,35,14,15,,,,,,,,30748,3/14/2018,24,,,14,86,12.5,4,2.5,1,,,,62.50%
CS18-YC1I-058,CS,2018,YC1I,058,Y426,1,CS15-YUAN-438-B4,(Tx740/NC356)-18-079-2-1-B4,75,75,65,48,25,7,,,,,,,,14349,3/14/2018,24,,,14,85,12.5,4,2.5,1,,,,29.17%
