Barcode,Points,zmax,zmean,zsd,zskew,zkurt,zentropy,pzabovezmean,pzabove2,zq5,zq10,zq15,zq20,zq25,zq30,zq35,zq40,zq45,zq50,zq55,zq60,zq65,zq70,zq75,zq80,zq85,zq90,zq95,zpcum1,zpcum2,zpcum3,zpcum4,zpcum5,zpcum6,zpcum7,zpcum8,zpcum9
CS18-YC1I-173,1167,1.185271259625,0.659851242398565,0.227197521710834,-0.535813854528157,2.86729403739949,NA,57.6692373607541,0,0.1997356045125,0.310001042175,0.404309901025,0.47766494665,0.5224024646875,0.567555048175,0.60675587905,0.6475887287,0.68262750745,0.708926615375,0.7314130738125,0.76070095275,0.7844510033375,0.79884251035,0.8172671495,0.836337735925,0.853118885525,0.883416077,0.9870544628625,1.02915951972556,6.94682675814751,12.5214408233276,19.7255574614065,32.8473413379074,50.6861063464837,77.6157804459691,93.9965694682676,97.8559176672384
CS18-YC1I-174,1108,1.374060513125,0.729668941924413,0.272611629713106,-0.388408740264163,2.23250237766431,NA,53.7906137184115,0,0.2413406949125,0.327675588875,0.39366329009375,0.45158441805,0.52984598365625,0.5977238443,0.6442499149875,0.6811432873,0.71646354713125,0.763690885375,0.808951810425,0.8577302658,0.8938714979375,0.9240790771,0.95098885975,0.979655625125,1.0182508991625,1.04996583335,1.09902488226875,1.5356820234869,7.22673893405601,16.5311653116531,26.4679313459801,41.2827461607949,56.639566395664,77.1454381210479,95.1219512195122,99.5483288166215
CS18-YC1I-175,1170,1.43863117475,0.886815324089637,0.370825098389765,-0.611500855574838,2.25914549468657,NA,57.7777777777778,0,0.16676946653125,0.2621910816375,0.40385801975,0.510253132475,0.650794505125,0.73945751445,0.7989189844,0.864772628625,0.92245961269375,0.9603684246875,1.01238569356875,1.067124101125,1.10936078465625,1.148537262875,1.18888935184375,1.2335144014,1.27645714416875,1.3188238824625,1.34964865145,3.76390076988879,10.5218135158255,16.4242942686056,22.7544910179641,28.8280581693755,39.863130881095,54.2343883661249,70.4875962360992,86.7408041060736
CS18-YC1I-176,1266,1.44038498875,0.9191988649219,0.357534598061238,-0.971853178303244,2.61409085004677,NA,67.6145339652449,0,0.17984113521875,0.2715934373125,0.41813242821875,0.5249738665,0.676525202875,0.8572961084375,0.96131273775,1.02030038475,1.05939212415625,1.0786696043125,1.0961034841875,1.1084566085,1.1230844579375,1.138238132375,1.15709746053125,1.1845492145,1.21413865490625,1.251613554875,1.31011539325,2.60869565217391,10.5928853754941,15.6521739130435,22.1343873517787,26.0869565217391,30.197628458498,39.1304347826087,73.9920948616601,94.5454545454545
CS18-YC1I-177,1154,1.114258522125,0.830085908232561,0.233077738617761,-1.62042983114409,4.89685006296635,NA,67.7642980935875,0,0.2295132367125,0.4422527772875,0.64096333738125,0.7489020658,0.78140893459375,0.8170366833,0.84600835889375,0.86131303975,0.87763256998125,0.8953402668125,0.91309699195625,0.93306232365,0.95478809630625,0.970162026225,0.98936760871875,1.00093991485,1.0140886822125,1.0292163582375,1.0517820388375,0.2601908065915,4.85689505637468,7.63226366001735,10.3209019947962,13.0962705984389,15.8716392020815,24.6313963573287,48.7424111014744,81.0060711188205
CS18-YC1I-178,1073,1.089972373,0.741941395895154,0.190508223582856,-1.12861930921829,4.52063984924145,NA,61.6029822926375,0,0.3123689015,0.471218993825,0.57828232895,0.63447764665,0.667513070625,0.70194573085,0.725222570525,0.744745061025,0.766560016,0.78034472975,0.790375565525,0.8069241138,0.81962458875,0.835271263075,0.85327154625,0.8745406887,0.8998821306,0.9461038638,1.016128846875,0.279850746268657,2.70522388059702,5.31716417910448,8.48880597014925,12.8731343283582,22.5746268656716,43.9365671641791,79.384328358209,92.7238805970149
CS18-YC1I-179,1073,1.055725450125,0.696695070270736,0.240977740963253,-1.02723901448391,2.95117818310109,NA,62.8145386766076,0,0.17232587605,0.26910417345,0.392214896225,0.49162330235,0.56989663525,0.63749907985,0.684087337775,0.7167092543,0.748900006675,0.782684629625,0.809128680475,0.8297771466,0.8534275049,0.866997312975,0.88082730325,0.893124676575,0.906337555875,0.927238966625,0.949878770975,0.279850746268657,7.55597014925373,11.9402985074627,16.044776119403,22.2014925373134,29.2910447761194,43.6567164179104,62.8731343283582,95.1492537313433
CS18-YC1I-180,1099,1.107069140625,0.72260780813717,0.254719470728532,-0.867121266257136,2.62824349134345,NA,60.4185623293904,0,0.189124299975,0.30746521525,0.3965664189625,0.490996215425,0.56081164275,0.624761377725,0.6783667695625,0.7266026892,0.77157739635,0.814085540125,0.844580174375,0.868500659475,0.89328726005,0.915011872875,0.9274934870625,0.939987241775,0.955067886625,0.971894339825,0.9986005918625,0.728597449908925,6.28415300546448,11.6575591985428,17.4863387978142,24.7723132969035,33.5154826958106,45.4462659380692,63.4790528233151,94.8998178506375
CS18-YC1I-181,886,1.434513088625,0.773973933157731,0.34285079799629,-0.288254174793789,2.01936100366905,NA,52.9345372460497,0,0.17868090675,0.2480899361875,0.3286376550625,0.435801867125,0.5135594728125,0.590714339125,0.65648153465625,0.698980455,0.75897826075,0.8051357528125,0.8542019726875,0.93476241325,0.979276432625,1.015086829875,1.0625905705,1.096565361125,1.142402854,1.191575882375,1.272376987625,2.71186440677966,13.1073446327684,19.4350282485876,29.0395480225989,41.6949152542373,55.3672316384181,68.5875706214689,85.9887005649718,95.9322033898305
CS18-YC1I-182,722,1.44511032675,0.826707195884869,0.383106885759407,-0.663427979111899,2.03181378345055,NA,64.819944598338,0,0.1327803258,0.1775080156125,0.26591804171875,0.380542030575,0.49765155240625,0.583489420025,0.8179074058,0.933174745225,0.96355179263125,0.985941884375,1.0132771212,1.039527291775,1.05995088993125,1.081521781,1.104625408125,1.128848340925,1.17193140439375,1.20981725085,1.26636457311875,6.93481276005548,16.2274618585298,22.4687933425798,29.6809986130374,33.4257975034674,36.1997226074896,54.6463245492372,84.0499306518724,96.25520110957
